canonical_key,canonical_value,poi_domain,poi_category,poi_type,gentrification_proxy
office,coworking,Other,Hipster,Coworking Space,true
shop,organic,Retail,Food and Drink,Organic Food,true
leisure,yoga_studio,Sports and Recreation,Sport,Fitness Center,true
leisure,fitness_outdoor,Sports and Recreation,Recreation,Outdoor Fitness,false
