plr_id_pre2021,plr_id_2021,mapping_type,weight,reverse_weight,note
01011102,04501042,areal_pop_weighted,5.477238375926576e-06,2.731652448124122e-05,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011103,01100101,areal_pop_weighted,0.00022470715861126587,0.00032004791957298986,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011103,01100102,areal_pop_weighted,3.90187262085296e-05,5.202232288547814e-06,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011103,01100103,areal_pop_weighted,0.9994228791265883,0.9545607970349237,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011103,01100104,areal_pop_weighted,0.00018352348696129678,0.00028333723539909804,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011103,07100101,areal_pop_weighted,2.1393803559711405e-10,1.8004146833222195e-10,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011103,07100102,areal_pop_weighted,4.62551408557971e-05,4.6793440269751473e-05,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011103,07100103,areal_pop_weighted,8.361480162635384e-05,0.00012775635829153772,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011103,07100205,areal_pop_weighted,1.3450904823450562e-09,2.2134709602660216e-09,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011104,01100102,areal_pop_weighted,0.0002566444128762392,2.2163600713149967e-05,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011104,01100103,areal_pop_weighted,8.415463874539532e-05,5.206240396832325e-05,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011104,01100104,areal_pop_weighted,0.9995963802541755,0.9996052425372106,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011104,02200207,areal_pop_weighted,1.1442576304010684e-05,5.190738332054776e-06,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011104,07100205,areal_pop_weighted,5.1378117821174416e-05,5.476364793913813e-05,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011105,01100101,areal_pop_weighted,3.9720435819454296e-05,0.0001012159446427081,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011105,01100102,areal_pop_weighted,0.9732897569587696,0.23216440379427164,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011105,01100103,areal_pop_weighted,0.02652418745379415,0.045324520995034034,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011105,01100104,areal_pop_weighted,2.6204877962092555e-05,7.23820649505906e-05,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011105,01100205,areal_pop_weighted,0.00011472875598556975,0.0001690289999436095,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011105,02100101,areal_pop_weighted,1.2385469791523202e-06,1.629405709916388e-06,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011105,02200207,areal_pop_weighted,4.162970707361572e-06,5.216192988895751e-06,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011201,01100102,areal_pop_weighted,0.0008449578640380819,0.0001368059911136827,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011201,01100205,areal_pop_weighted,0.9979627315429437,0.9979754198929899,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011201,01100206,areal_pop_weighted,0.00015832168691329185,7.74590646157196e-05,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011201,01100207,areal_pop_weighted,0.0009801225132544604,0.0008145962427156741,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011201,02100101,areal_pop_weighted,3.6244079913837274e-05,3.236461260492763e-05,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011201,02100102,areal_pop_weighted,1.762231289180823e-05,1.7910061069539938e-05,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
01011202,01100102,areal_pop_weighted,4.561022879289855e-07,8.66959953519725e-08,"Geometric areal-weighted crosswalk computed by ingestion/berlin/lor/ingest_lor_crosswalk.py from GDI Berlin WFS geometries (CC BY 3.0 DE). Both vintages in EPSG:25833. weight=intersection_area/pre2021_plr_area (forward); reverse_weight=intersection_area/lor2021_plr_area (reverse, #136)."
