vintage,year_built_bucket,size_bucket,wohnlage,rent_low,rent_mid,rent_high,source
2017,1950_1964,under_40,mittel,5.89,6.64,8.00,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1950_1964,under_40,gut,5.87,7.48,10.20,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1950_1964,40_to_60,einfach,5.16,5.71,7.29,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1950_1964,40_to_60,mittel,5.43,6.11,7.48,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1950_1964,40_to_60,gut,5.18,6.66,8.98,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1950_1964,60_to_90,einfach,4.74,5.48,6.68,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1950_1964,60_to_90,mittel,5.18,6.00,7.28,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1950_1964,60_to_90,gut,5.58,6.81,8.82,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1950_1964,90_plus,einfach,4.29,4.87,6.60,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1950_1964,90_plus,mittel,5.77,6.46,8.03,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1950_1964,90_plus,gut,6.77,8.26,9.61,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1965_1972,under_40,einfach,5.78,6.58,7.74,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1965_1972,under_40,mittel,5.71,6.57,8.36,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1965_1972,under_40,gut,7.70,8.83,9.84,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1965_1972,40_to_60,einfach,5.13,5.75,7.01,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1965_1972,40_to_60,mittel,5.39,5.72,7.20,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1965_1972,40_to_60,gut,6.17,7.39,9.00,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1965_1972,60_to_90,einfach,4.76,5.22,6.30,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1965_1972,60_to_90,mittel,5.05,5.49,6.59,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1965_1972,60_to_90,gut,6.09,6.90,8.59,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1965_1972,90_plus,einfach,4.80,5.29,6.14,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1965_1972,90_plus,mittel,4.91,5.53,7.50,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1965_1972,90_plus,gut,6.99,8.05,8.54,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_west,under_40,einfach,5.33,7.68,8.15,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_west,under_40,mittel,7.18,8.08,12.00,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_west,under_40,gut,6.93,8.59,10.11,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_west,40_to_60,einfach,5.80,6.77,8.43,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_west,40_to_60,mittel,6.65,7.39,7.97,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_west,40_to_60,gut,7.30,8.00,9.12,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_west,60_to_90,einfach,5.08,6.12,7.59,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_west,60_to_90,mittel,6.16,7.50,8.76,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_west,60_to_90,gut,7.07,8.24,9.69,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_west,90_plus,einfach,5.39,6.49,8.05,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_west,90_plus,mittel,5.17,7.48,8.80,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_west,90_plus,gut,7.60,8.83,10.49,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_ost,under_40,einfach,6.13,6.81,7.63,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_ost,under_40,mittel,6.40,6.77,7.94,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_ost,under_40,gut,7.09,8.04,9.14,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_ost,40_to_60,einfach,5.30,5.61,6.67,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_ost,40_to_60,mittel,5.37,5.83,6.75,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_ost,40_to_60,gut,6.11,6.84,8.29,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_ost,60_to_90,einfach,4.72,5.07,5.71,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_ost,60_to_90,mittel,4.68,5.11,5.78,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_ost,60_to_90,gut,5.37,6.00,7.00,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_ost,90_plus,einfach,4.24,4.70,5.60,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_ost,90_plus,mittel,4.76,5.11,5.60,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1973_1990_ost,90_plus,gut,5.24,5.63,6.92,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1991_2002,under_40,mittel,13.85,14.19,15.72,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1991_2002,40_to_60,einfach,6.21,7.43,9.17,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1991_2002,40_to_60,mittel,6.84,8.18,9.37,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1991_2002,40_to_60,gut,7.48,9.00,10.34,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1991_2002,60_to_90,einfach,5.76,7.10,8.23,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1991_2002,60_to_90,mittel,6.52,7.59,8.96,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1991_2002,60_to_90,gut,7.31,8.77,10.54,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1991_2002,90_plus,einfach,5.95,7.18,8.47,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1991_2002,90_plus,mittel,6.30,8.00,9.27,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1991_2002,90_plus,gut,7.18,9.24,11.13,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,2003_2015,under_40,einfach,7.50,7.50,9.51,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,2003_2015,40_to_60,einfach,6.90,8.50,12.50,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,2003_2015,40_to_60,mittel,8.40,10.10,13.94,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,2003_2015,40_to_60,gut,8.00,9.44,11.30,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,2003_2015,60_to_90,einfach,6.90,10.13,12.99,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,2003_2015,60_to_90,mittel,8.61,10.31,13.93,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,2003_2015,60_to_90,gut,8.44,9.01,11.07,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,2003_2015,90_plus,einfach,8.60,10.70,13.56,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,2003_2015,90_plus,mittel,8.69,10.19,13.10,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,2003_2015,90_plus,gut,8.40,10.00,12.50,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2019,pre_1918,under_40,einfach,5.5,7.9,12.97,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1919_1949,under_40,einfach,6.0,7.8,8.68,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1950_1964,under_40,einfach,5.54,6.43,9.03,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1965_1972,under_40,einfach,5.99,6.8,8.83,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1973_1990_west,under_40,einfach,7.43,7.57,8.85,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1973_1990_ost,under_40,einfach,6.85,7.14,7.97,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,pre_1918,under_40,mittel,6.72,8.43,12.24,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1919_1949,under_40,mittel,6.44,7.66,8.55,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1950_1964,under_40,mittel,5.65,6.85,9.05,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1965_1972,under_40,mittel,5.89,6.57,8.24,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1973_1990_west,under_40,mittel,5.33,7.73,8.16,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1973_1990_ost,under_40,mittel,6.45,6.93,7.23,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,pre_1918,under_40,gut,6.54,11.44,14.23,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1919_1949,under_40,gut,6.44,7.5,9.48,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1950_1964,under_40,gut,6.36,7.47,9.31,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1965_1972,under_40,gut,8.15,8.9,9.75,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1973_1990_west,under_40,gut,7.47,8.31,10.09,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1973_1990_ost,under_40,gut,6.7,7.13,8.73,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,pre_1918,40_to_60,einfach,5.26,6.75,9.94,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
