edition,expected_plr_count,lor_vintage
2013,447,lor_pre2021
2015,447,lor_pre2021
2017,447,lor_pre2021
2019,447,lor_pre2021
2021,542,lor_2021
2023,542,lor_2021
2025,542,lor_2021
