Zeit;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;EINW10;EINW5;Dau10;Dau5;PDAU10;PDAU5
2020;03030405;03;03;04;05;2;9860;10635;4394;6659;44,6;62,6
2020;03030406;03;03;04;06;2;7503;7912;5017;6272;66,9;79,3
2020;03030711;03;03;07;11;2;6251;6639;3457;5177;55,3;78,0
2020;03030715;03;03;07;15;2;7009;7399;3596;4980;51,3;67,3
2020;03030716;03;03;07;16;2;1045;1085;730;925;69,9;85,3
2020;03040508;03;04;05;08;2;4251;4516;2287;3317;53,8;73,4
2020;03040512;03;04;05;12;2;9484;9947;4651;6666;49,0;67,0
2020;03040513;03;04;05;13;2;3226;3379;1664;2491;51,6;73,7
2020;03040614;03;04;06;14;2;32824;35088;14425;22765;43,9;64,9
2020;03040818;03;04;08;18;2;32126;33860;14451;22133;45,0;65,4
2020;03050919;03;05;09;19;2;4622;4826;2336;3285;50,5;68,1
2020;03050920;03;05;09;20;2;6753;7178;2832;4717;41,9;65,7
2020;03050923;03;05;09;23;2;8857;9399;3061;5288;34,6;56,3
2020;03050924;03;05;09;24;2;5658;6011;2053;3390;36,3;56,4
2020;03050925;03;05;09;25;2;8638;9258;3616;6004;41,9;64,9
2020;03051017;03;05;10;17;2;3826;4008;1719;2598;44,9;64,8
2020;03051021;03;05;10;21;2;6360;6642;3059;4360;48,1;65,6
2020;03051022;03;05;10;22;2;4174;4409;2151;3079;51,5;69,8
2020;03061126;03;06;11;26;1;14634;15360;5102;8453;34,9;55,0
2020;03061131;03;06;11;31;1;9606;10141;3335;5755;34,7;56,7
2020;03061227;03;06;12;27;1;13349;13944;5522;8763;41,4;62,8
2020;03061228;03;06;12;28;1;11833;12223;4863;7501;41,1;61,4
2020;03061332;03;06;13;32;1;20111;21321;7854;13349;39,1;62,6
2020;03061429;03;06;14;29;1;9308;9636;5282;7001;56,7;72,7
2020;03061430;03;06;14;30;1;3423;3683;1490;2048;43,5;55,6
2020;03061434;03;06;14;34;1;5752;6049;2382;3744;41,4;61,9
2020;03061435;03;06;14;35;1;3703;3859;1561;2286;42,2;59,2
2020;03061441;03;06;14;41;1;2318;2608;611;1687;26,4;64,7
2020;03071536;03;07;15;36;1;10125;10737;3840;6454;37,9;60,1
2020;03071537;03;07;15;37;1;14100;14946;5628;8857;39,9;59,3
2020;03071633;03;07;16;33;1;2861;3040;1336;2025;46,7;66,6
2020;03071638;03;07;16;38;1;15650;16603;6164;10290;39,4;62,0
2020;03071639;03;07;16;39;1;11463;12135;5020;7527;43,8;62,0
2020;04010101;04;01;01;01;2;9862;10270;4858;7088;49,3;69,0
2020;04010102;04;01;01;02;2;725;761;327;444;45,1;58,3
2020;04010103;04;01;01;03;2;6950;7399;3749;5615;53,9;75,9
2020;04020204;04;02;02;04;2;166;178;41;132;24,7;74,2
2020;04020205;04;02;02;05;2;1217;1268;688;922;56,5;72,7
2020;04020206;04;02;02;06;2;2627;2726;1287;1803;49,0;66,1
2020;04020207;04;02;02;07;2;2394;2492;1160;1672;48,5;67,1
2020;04020208;04;02;02;08;2;2725;2875;1466;2109;53,8;73,4
2020;04020209;04;02;02;09;2;2903;3055;1541;2032;53,1;66,5
2020;04020310;04;02;03;10;2;729;757;195;267;26,7;35,3
2020;04020311;04;02;03;11;2;13715;14238;6858;9644;50,0;67,7
2020;04020312;04;02;03;12;2;5129;5351;2412;3380;47,0;63,2
2020;04020313;04;02;03;13;2;6682;6925;3029;4440;45,3;64,1
2020;04020314;04;02;03;14;2;6;6;3;6;50,0;100,0
2020;04030415;04;03;04;15;1;3108;3199;901;1502;29,0;47,0
2020;04030416;04;03;04;16;1;9393;9838;4934;7234;52,5;73,5
2020;04030417;04;03;04;17;1;9911;10333;4934;7043;49,8;68,2
2020;04030518;04;03;05;18;1;8939;9236;4066;5975;45,5;64,7
2020;04030519;04;03;05;19;1;5445;5664;2287;3538;42,0;62,5
2020;04030620;04;03;06;20;1;8215;8516;3767;5537;45,9;65,0
2020;04030621;04;03;06;21;1;3198;3298;1236;1825;38,6;55,3
2020;04030622;04;03;06;22;1;9929;10334;4434;6732;44,7;65,1
2020;04030623;04;03;06;23;1;4733;4925;2012;2941;42,5;59,7
2020;04030724;04;03;07;24;1;6048;6265;3060;4354;50,6;69,5
2020;04030725;04;03;07;25;1;11265;11664;5316;7666;47,2;65,7
2020;04030726;04;03;07;26;1;5230;5429;2403;3470;45,9;63,9
