ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;EINW10;EINW5;DAU10;DAU5;PDAU10;PDAU5
201412;1011101;1;1;11;1;1;2943;3009;1049;1553;35,6;51,6
201412;1011102;1;1;11;2;1;182;188;67;111;36,8;59,0
201412;1011103;1;1;11;3;1;4737;4928;1674;2654;35,3;53,9
201412;1011104;1;1;11;4;1;3968;4164;1037;1925;26,1;46,2
201412;1011105;1;1;11;5;1;1000;1030;132;395;13,2;38,3
201412;1011201;1;1;12;1;1;1923;1992;940;1345;48,9;67,5
201412;1011202;1;1;12;2;1;464;486;145;237;31,3;48,8
201412;1011203;1;1;12;3;1;862;886;284;459;32,9;51,8
201412;1011204;1;1;12;4;1;6055;6237;2319;3464;38,3;55,5
201412;1011301;1;1;13;1;1;5055;5252;1062;2068;21,0;39,4
201412;1011302;1;1;13;2;1;10943;11543;3486;6378;31,9;55,3
201412;1011303;1;1;13;3;1;8037;8261;2885;4644;35,9;56,2
201412;1011304;1;1;13;4;1;7851;8115;3779;5700;48,1;70,2
201412;1011305;1;1;13;5;1;6628;6825;2848;4046;43,0;59,3
201412;1011306;1;1;13;6;1;7964;8203;3002;4492;37,7;54,8
201412;1011401;1;1;14;1;1;13564;14300;3199;6714;23,6;47,0
201412;1011402;1;1;14;2;1;11125;11771;2549;5572;22,9;47,3
201412;1022101;1;2;21;1;1;3117;3218;711;1513;22,8;47,0
201412;1022102;1;2;21;2;1;5726;5976;1466;2871;25,6;48,0
201412;1022103;1;2;21;3;1;207;231;50;99;24,2;42,9
201412;1022104;1;2;21;4;1;16397;17022;5079;9166;31,0;53,8
201412;1022105;1;2;21;5;1;4660;4864;1445;2582;31,0;53,1
201412;1022106;1;2;21;6;1;10736;11178;4014;6528;37,4;58,4
201412;1022201;1;2;22;1;1;9571;9947;2960;5193;30,9;52,2
201412;1022202;1;2;22;2;1;1276;1376;524;864;41,1;62,8
201412;1022203;1;2;22;3;1;6091;6423;2195;3883;36,0;60,5
201412;1022204;1;2;22;4;1;5359;5582;2022;3217;37,7;57,6
201412;1022205;1;2;22;5;1;2861;3031;990;1696;34,6;56,0
201412;1022206;1;2;22;6;1;2779;2909;1027;1763;37,0;60,6
201412;1022207;1;2;22;7;1;5178;5304;2061;3180;39,8;60,0
201412;1033101;1;3;31;1;1;22878;24258;6542;12358;28,6;50,9
201412;1033102;1;3;31;2;1;10302;10884;3162;5957;30,7;54,7
201412;1033201;1;3;32;1;1;11155;12063;4148;7999;37,2;66,3
201412;1033202;1;3;32;2;1;8651;9157;3593;5976;41,5;65,3
201412;1033203;1;3;32;3;1;12346;13053;3849;7104;31,2;54,4
201412;1044101;1;4;41;1;1;18265;19026;6412;10956;35,1;57,6
201412;1044102;1;4;41;2;1;14597;15130;5413;8882;37,1;58,7
201412;1044103;1;4;41;3;1;7453;7719;2190;4046;29,4;52,4
201412;1044201;1;4;42;1;1;20569;21831;5935;11357;28,9;52,0
201412;1044202;1;4;42;2;1;15270;15857;3725;7349;24,4;46,3
201412;1044203;1;4;42;3;1;14554;15206;4164;7772;28,6;51,1
