ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
201812;06020411;06;02;04;11;2;989;443;546;6;9;15;23;6;3;7;19;24;18;9;28;27;68;29;39;100;114;89;93;55;48;33;18;19;27;24;21;15;0;0;3;6;53;80;28;95;519;99;91;18
201812;06030501;06;03;05;01;2;813;489;324;9;0;3;12;3;10;6;12;22;12;4;13;45;105;47;57;64;84;59;45;53;36;15;15;9;18;12;24;13;3;0;3;9;18;66;13;150;409;66;63;19
201812;06030502;06;03;05;02;2;673;328;345;3;6;15;10;3;9;6;25;15;12;6;14;28;32;29;39;64;55;72;55;39;37;15;12;12;12;18;18;6;3;3;0;3;34;73;14;60;353;64;60;12
201812;06030503;06;03;05;03;2;1770;854;916;9;16;15;34;18;9;6;18;21;28;7;36;46;97;61;124;185;166;157;168;126;93;64;49;33;52;52;28;24;12;9;7;9;83;89;36;143;987;206;165;52
201812;06030504;06;03;05;04;2;1199;580;619;12;9;4;9;0;13;11;15;15;9;12;27;51;56;34;66;118;96;115;104;96;84;45;25;15;38;55;29;24;9;0;3;12;22;75;27;107;629;154;137;36
201812;06030605;06;03;06;05;2;1072;542;530;3;3;6;12;7;0;6;12;15;3;3;10;30;79;52;90;120;122;96;95;84;66;33;13;18;28;36;18;6;3;0;3;3;28;39;10;109;659;112;100;12
201812;06030606;06;03;06;06;2;981;530;451;9;6;6;6;3;12;3;0;10;12;9;16;32;87;43;73;115;94;78;83;80;55;28;9;15;18;30;21;12;6;10;0;9;21;46;16;119;566;92;84;28
201812;06030607;06;03;06;07;2;799;428;371;3;6;6;6;0;0;0;3;9;0;0;3;57;188;84;119;79;59;58;27;24;19;9;3;6;6;12;0;3;7;3;0;3;18;12;3;245;450;31;24;13
201812;06030608;06;03;06;08;2;1873;1006;867;19;9;19;36;28;16;27;46;30;44;24;67;81;126;92;86;179;205;169;127;123;98;33;18;22;27;29;39;27;15;9;3;19;92;187;67;207;981;149;117;54
201812;06030609;06;03;06;09;2;1630;795;835;13;7;9;32;10;19;9;28;12;18;3;34;39;111;61;103;191;130;136;157;127;109;51;33;18;42;48;36;16;9;9;10;13;58;89;34;150;905;193;144;44
201812;06030610;06;03;06;10;2;1071;509;562;9;3;6;3;0;3;12;24;21;27;3;15;15;71;30;48;126;121;80;107;76;61;24;31;25;33;42;21;22;6;3;3;9;12;90;15;86;588;116;121;34
201812;06040701;06;04;07;01;2;1205;603;602;6;9;6;6;16;12;16;15;9;18;6;24;25;64;36;95;97;88;108;116;95;62;37;37;32;46;52;31;23;12;3;3;6;37;76;24;89;635;136;161;41
201812;06040702;06;04;07;02;2;655;338;317;6;6;9;15;6;3;12;6;12;12;6;15;25;36;21;35;52;56;67;59;36;45;15;12;21;9;33;9;7;9;0;0;6;36;51;15;61;326;72;72;16
201812;06040703;06;04;07;03;2;2241;1197;1044;3;6;6;9;10;9;3;21;12;12;6;13;168;481;257;261;219;137;95;102;105;77;43;24;18;35;48;24;28;3;6;0;3;31;63;13;649;1176;144;125;37
201812;06040804;06;04;08;04;2;735;349;386;0;7;3;9;3;3;6;10;0;3;0;12;28;43;33;42;51;58;48;76;69;45;21;25;12;18;45;27;19;13;3;3;0;22;22;12;71;377;91;102;38
201812;06040805;06;04;08;05;2;586;278;308;6;0;6;9;0;3;3;0;3;3;0;19;13;39;9;39;52;70;48;53;39;45;21;15;12;27;18;24;0;4;3;3;6;15;12;19;52;310;81;81;10
201812;06040806;06;04;08;06;2;601;271;330;0;0;3;3;3;3;3;0;12;0;6;12;15;56;22;39;68;39;76;42;45;42;28;6;12;12;21;6;15;6;3;3;0;9;24;12;71;331;76;51;27
201812;06040807;06;04;08;07;2;721;330;391;0;0;3;9;3;6;0;13;12;12;0;9;12;34;24;40;88;69;48;78;76;43;24;16;12;21;30;18;12;3;6;0;0;15;43;9;46;423;83;81;21
201812;06040808;06;04;08;08;2;681;306;375;3;3;10;9;3;0;0;16;12;6;0;22;28;37;18;30;40;72;101;78;75;35;16;0;18;16;9;18;3;3;0;0;3;25;34;22;65;414;51;61;6
201812;06040809;06;04;08;09;2;928;455;473;6;3;6;3;6;6;0;3;15;9;9;18;37;46;21;51;81;86;66;79;70;78;19;19;30;38;42;32;22;12;9;6;6;18;42;18;83;454;116;142;49
201812;06040810;06;04;08;10;2;1217;557;660;0;6;6;9;11;9;18;15;12;26;6;31;56;78;43;58;113;101;99;94;92;87;38;21;22;21;60;30;28;12;6;9;0;32;86;31;134;600;146;133;55
201812;07010101;07;01;01;01;1;3007;1671;1336;10;20;23;31;13;15;18;31;21;15;9;33;74;169;111;195;351;264;332;250;232;236;116;76;56;61;117;71;39;12;3;3;10;87;109;33;243;1735;428;305;57
201812;07010102;07;01;01;02;1;5938;3182;2756;46;25;49;66;35;45;38;72;77;59;30;113;168;398;264;430;685;561;526;500;434;348;187;91;89;131;190;134;91;37;9;10;46;175;321;113;566;3400;626;544;147
201812;07010103;07;01;01;03;1;2561;1404;1157;6;15;12;18;6;6;15;30;18;15;9;21;57;193;153;199;363;273;229;218;177;126;92;57;42;49;72;47;19;18;0;6;6;51;93;21;250;1612;275;210;43
201812;07010104;07;01;01;04;1;4776;2500;2276;18;12;22;34;9;22;15;30;30;41;18;39;123;305;202;317;575;457;432;422;366;296;153;100;80;125;247;124;89;50;20;3;18;77;156;39;428;2771;549;576;162
201812;07020201;07;02;02;01;1;2109;1051;1058;10;6;6;18;12;16;6;3;3;19;9;24;39;115;123;165;272;200;167;184;157;136;66;48;36;57;111;61;18;16;0;6;10;42;56;24;154;1268;250;265;40
201812;07020202;07;02;02;02;1;2656;1457;1199;12;17;6;27;12;12;15;15;16;18;3;45;77;173;153;242;365;319;274;199;182;148;70;25;27;37;85;35;29;12;6;0;12;62;79;45;250;1734;243;184;47
201812;07020203;07;02;02;03;1;4791;2518;2273;21;18;22;21;19;21;18;45;25;15;18;42;111;304;244;433;650;504;442;375;379;270;119;106;87;113;148;121;57;27;9;7;21;80;142;42;415;3027;495;469;100
201812;07020204;07;02;02;04;1;2691;1380;1311;3;6;9;22;10;3;9;15;9;15;3;26;81;232;148;241;437;338;198;208;169;152;72;37;39;47;62;52;33;9;6;0;3;47;54;26;313;1739;261;200;48
201812;07030301;07;03;03;01;1;3750;1842;1908;22;12;17;40;36;12;24;40;34;36;12;46;104;272;218;344;426;382;341;323;272;194;113;52;49;89;107;68;38;12;12;3;22;105;158;46;376;2306;359;313;65
201812;07030302;07;03;03;02;1;1605;787;818;6;6;9;6;3;9;9;9;9;13;9;26;37;120;80;148;196;178;136;126;97;77;55;33;30;36;57;45;27;3;4;6;6;24;58;26;157;961;165;168;40
201812;07030303;07;03;03;03;1;2803;1430;1373;3;15;17;25;6;6;12;28;26;12;12;34;73;196;112;209;307;311;276;238;227;182;70;52;46;66;109;63;55;9;6;0;3;63;96;34;269;1680;304;284;70
201812;07040401;07;04;04;01;2;4342;2342;2000;21;40;45;59;33;40;28;72;68;34;27;49;156;330;181;383;518;457;388;336;280;200;100;73;50;81;111;80;57;33;6;6;21;177;269;49;486;2543;373;322;102
201812;07040402;07;04;04;02;2;223;118;105;3;3;0;0;3;0;3;0;3;0;0;0;3;12;6;17;15;34;13;34;15;22;13;6;3;0;9;6;0;0;0;0;3;6;6;0;15;134;41;18;0
201812;07040403;07;04;04;03;2;4992;2684;2308;18;43;25;58;31;18;24;54;49;54;27;67;133;357;228;409;662;565;450;420;344;251;125;73;62;94;159;103;49;15;16;9;18;157;226;67;490;3078;449;418;89
201812;07040404;07;04;04;04;2;652;326;326;3;0;0;6;3;0;3;0;3;7;3;12;9;57;27;42;72;54;44;58;64;39;19;9;19;21;24;18;24;9;3;0;3;9;16;12;66;361;67;82;36
201812;07040405;07;04;04;05;2;2640;1390;1250;19;15;22;32;24;15;22;46;40;37;15;54;83;181;94;196;344;277;265;235;183;131;51;39;22;59;63;21;31;18;3;3;19;93;175;54;264;1594;221;165;55
201812;07040406;07;04;04;06;2;1454;813;641;12;25;9;27;15;15;12;27;23;21;3;30;25;83;92;146;235;153;109;100;101;70;28;21;9;21;18;15;9;0;0;0;12;76;101;30;108;936;119;63;9
201812;07050501;07;05;05;01;2;3533;1827;1706;24;28;24;43;28;12;18;63;50;40;24;56;95;232;168;309;406;339;327;287;233;194;103;59;41;85;111;68;42;18;6;0;24;123;207;56;327;2069;356;305;66
201812;07050502;07;05;05;02;2;1657;880;777;9;13;15;31;6;16;6;18;11;21;12;37;52;99;63;136;213;144;164;170;127;92;37;18;27;15;57;15;18;6;3;6;9;65;84;37;151;1017;147;114;33
201812;07050503;07;05;05;03;2;1463;749;714;3;10;9;12;12;6;9;15;12;15;3;16;45;83;65;118;204;163;115;139;95;79;40;27;24;44;45;27;13;12;0;3;3;43;60;16;128;899;146;140;28
201812;07050504;07;05;05;04;2;820;410;410;6;6;11;9;0;9;6;12;13;9;6;9;36;49;23;65;91;62;60;73;58;67;21;21;12;26;33;9;9;9;0;0;6;26;55;9;85;432;109;80;18
201812;07050505;07;05;05;05;2;1464;751;713;19;15;13;27;10;18;7;27;19;18;12;27;48;90;58;74;149;156;152;148;99;63;39;13;9;37;41;45;10;12;9;0;19;65;101;27;138;836;115;132;31
201812;07050506;07;05;05;06;2;233;103;130;3;3;4;0;0;3;0;0;3;0;0;0;10;18;3;16;21;31;21;28;25;12;3;10;3;3;0;10;3;0;0;0;3;7;6;0;28;145;25;16;3
201812;07060601;07;06;06;01;2;2325;1250;1075;27;25;41;73;26;51;27;74;67;63;41;94;81;165;110;138;206;216;207;144;146;89;36;33;24;33;52;18;12;0;3;3;27;165;323;94;246;1167;158;127;18
201812;07060602;07;06;06;02;2;464;235;229;3;3;7;6;3;3;0;9;0;3;3;4;14;9;24;27;62;40;31;59;36;39;18;0;6;19;21;3;9;0;3;0;3;19;18;4;23;279;57;49;12
201812;07060603;07;06;06;03;2;484;237;247;3;0;7;12;6;6;0;10;10;12;0;19;18;34;9;22;32;39;67;56;34;19;18;7;12;6;10;6;6;4;0;0;3;25;38;19;52;259;44;34;10
201812;07060604;07;06;06;04;2;2147;1080;1067;21;15;27;34;16;12;19;30;33;32;10;37;61;131;72;109;250;245;248;203;136;117;40;31;28;51;52;35;30;19;0;3;21;92;136;37;192;1263;188;166;52
201812;07070701;07;07;07;01;2;1027;508;519;12;6;14;19;0;6;3;15;10;3;6;28;43;75;32;62;90;131;106;88;76;44;9;27;27;21;43;19;12;0;0;0;12;39;43;28;118;585;80;110;12
201812;07070702;07;07;07;02;2;894;446;448;3;9;9;15;3;6;4;7;13;12;6;6;22;64;33;45;98;88;87;87;60;63;27;34;9;21;30;15;9;6;3;0;3;36;48;6;86;498;124;75;18
201812;07070703;07;07;07;03;2;889;412;477;7;0;6;12;9;12;7;13;19;12;3;21;25;40;21;38;75;81;77;91;82;54;40;13;19;33;40;24;9;6;0;0;7;27;66;21;65;465;107;116;15
201812;07070704;07;07;07;04;2;1884;981;903;29;27;31;56;30;24;30;68;71;72;35;83;94;97;58;85;167;174;185;109;126;84;33;18;15;25;36;13;6;3;0;0;29;144;300;83;191;904;135;89;9
201812;07070705;07;07;07;05;2;547;263;284;3;0;3;0;9;0;0;6;3;12;0;16;22;36;27;19;68;49;61;45;65;24;15;6;9;19;9;9;9;0;3;0;3;12;21;16;58;334;45;46;12
201812;07070706;07;07;07;06;2;485;272;213;6;10;13;20;9;9;0;20;9;9;3;9;10;42;21;47;41;48;40;37;15;30;13;3;3;3;3;3;6;3;0;0;6;52;50;9;52;249;46;12;9
201812;07070707;07;07;07;07;2;241;92;149;3;9;0;0;6;3;3;6;3;3;3;6;0;10;6;13;29;22;23;18;19;13;12;3;3;0;6;9;0;7;0;3;3;15;21;6;10;130;28;18;10
201812;08010115;08;01;01;15;1;231;142;89;3;0;0;0;6;0;0;3;0;0;0;0;0;9;9;27;43;35;12;19;19;16;3;3;9;3;3;3;6;0;0;0;3;6;3;0;9;164;22;18;6
201812;08010116;08;01;01;16;1;1429;786;643;7;6;9;13;3;0;3;12;9;6;3;10;34;72;68;152;220;166;158;111;90;76;29;21;15;31;42;30;21;9;3;0;7;31;33;10;106;965;126;118;33
201812;08010117;08;01;01;17;1;5556;2984;2572;9;25;27;30;18;19;19;51;30;29;15;66;92;296;292;618;1051;772;521;398;313;219;126;59;66;104;131;95;44;12;6;3;9;100;163;66;388;3965;404;396;65
201812;08010118;08;01;01;18;1;4426;2354;2072;31;28;30;63;29;37;24;63;54;67;16;65;104;268;204;458;609;535;420;354;312;224;94;42;36;65;87;58;40;3;3;3;31;150;261;65;372;2892;360;246;49
201812;08010211;08;01;02;11;1;3959;2116;1843;18;12;24;40;12;18;25;32;36;31;22;31;64;223;209;410;664;492;309;298;266;229;95;57;36;53;100;80;49;18;6;0;18;88;164;31;287;2648;381;269;73
201812;08010212;08;01;02;12;1;2565;1297;1268;3;15;19;25;6;10;13;19;27;24;10;45;76;103;68;184;305;290;258;249;201;147;73;48;46;77;84;84;37;16;3;0;3;65;103;45;179;1555;268;291;56
201812;08010213;08;01;02;13;1;4363;2290;2073;27;28;26;59;27;24;25;35;35;22;13;55;132;268;211;441;679;522;382;350;284;199;95;47;39;85;112;90;36;9;3;3;27;140;154;55;400;2869;341;326;51
201812;08010214;08;01;02;14;1;3050;1578;1472;12;15;12;37;25;21;12;39;15;45;15;49;87;198;150;310;433;315;270;246;233;166;86;39;44;46;54;31;27;18;0;0;12;89;147;49;285;1957;291;175;45
201812;08010301;08;01;03;01;1;8748;4551;4197;24;22;30;73;27;25;29;43;41;43;21;45;126;448;448;879;1640;1365;906;633;534;395;148;95;96;150;222;128;88;18;6;0;24;152;202;45;574;6405;638;596;112
201812;08010302;08;01;03;02;1;818;419;399;4;3;3;0;0;0;0;6;12;12;6;6;22;46;46;67;118;86;84;76;55;43;27;12;13;28;21;15;7;0;0;0;4;6;36;6;68;532;82;77;7
