ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;EINW10;EINW5;DAU10;DAU5;PDAU10;PDAU5
2011;01011102;01;01;11;02;1;166;170;78;108;47,0;63,5
2011;01011103;01;01;11;03;1;4380;4564;1572;2516;35,9;55,1
2011;01011104;01;01;11;04;1;3406;3592;1022;1737;30,0;48,4
2011;01011105;01;01;11;05;1;847;873;123;312;14,5;35,7
2011;01011201;01;01;12;01;1;1962;2036;888;1337;45,3;65,7
2011;01011202;01;01;12;02;1;439;456;147;237;33,5;52,0
2011;01011203;01;01;12;03;1;768;790;317;431;41,3;54,6
2011;01011204;01;01;12;04;1;5314;5472;2169;3184;40,8;58,2
2011;01011301;01;01;13;01;1;4332;4468;982;1948;22,7;43,6
2011;01011302;01;01;13;02;1;10655;11218;3100;5811;29,1;51,8
2011;01011303;01;01;13;03;1;7682;7859;2855;4356;37,2;55,4
2011;01011304;01;01;13;04;1;7652;7895;3811;5363;49,8;67,9
2011;01011305;01;01;13;05;1;5928;6079;2830;3806;47,7;62,6
2011;01011306;01;01;13;06;1;7063;7278;2839;4277;40,2;58,8
2011;01011401;01;01;14;01;1;12277;12842;2792;5889;22,7;45,9
2011;01011402;01;01;14;02;1;10245;10736;2271;4642;22,2;43,2
2011;01022101;01;02;21;01;1;2860;2949;659;1260;23,0;42,7
2011;01022102;01;02;21;02;1;5262;5504;1339;2508;25,4;45,6
2011;01022103;01;02;21;03;1;153;171;30;82;19,6;48,0
2011;01022104;01;02;21;04;1;15422;16032;4918;8334;31,9;52,0
2011;01022105;01;02;21;05;1;4354;4579;1280;2282;29,4;49,8
2011;01022106;01;02;21;06;1;9975;10366;3993;6069;40,0;58,5
2011;01022201;01;02;22;01;1;9051;9406;2833;4626;31,3;49,2
2011;01022202;01;02;22;02;1;1267;1361;529;838;41,8;61,6
2011;01022203;01;02;22;03;1;5798;6121;2068;3357;35,7;54,8
2011;01022204;01;02;22;04;1;5108;5307;1953;3125;38,2;58,9
2011;01022205;01;02;22;05;1;2705;2872;984;1598;36,4;55,6
2011;01022206;01;02;22;06;1;2713;2844;910;1549;33,5;54,5
2011;01022207;01;02;22;07;1;5226;5377;2127;3132;40,7;58,2
2011;01033101;01;03;31;01;1;21107;22354;6124;10652;29,0;47,7
2011;01033102;01;03;31;02;1;9702;10226;2881;5147;29,7;50,3
2011;01033201;01;03;32;01;1;10869;11749;3928;6839;36,1;58,2
2011;01033202;01;03;32;02;1;8482;8935;3335;5222;39,3;58,4
2011;01033203;01;03;32;03;1;11340;12067;3564;6197;31,4;51,4
2011;01044101;01;04;41;01;1;17360;18070;6028;9639;34,7;53,3
2011;01044102;01;04;41;02;1;13857;14355;5478;8370;39,5;58,3
2011;01044103;01;04;41;03;1;6867;7128;2046;3509;29,8;49,2
2011;01044201;01;04;42;01;1;18967;20172;5528;9853;29,1;48,8
2011;01044202;01;04;42;02;1;13992;14557;3414;6152;24,4;42,3
2011;01044203;01;04;42;03;1;13625;14282;3956;6779;29,0;47,5
2011;02010101;02;01;01;01;1;5483;5786;1696;2910;30,9;50,3
2011;02010102;02;01;01;02;1;11011;11839;3915;6468;35,6;54,6
2011;02010103;02;01;01;03;1;13238;14127;5022;8404;37,9;59,5
2011;02010104;02;01;01;04;1;4338;4645;1665;2710;38,4;58,3
2011;02020201;02;02;02;01;1;239;253;55;118;23,0;46,6
2011;02020202;02;02;02;02;1;4987;5213;1742;2885;34,9;55,3
2011;02020203;02;02;02;03;1;9029;9413;3281;5137;36,3;54,6
2011;02020204;02;02;02;04;1;10815;11285;3653;6120;33,8;54,2
2011;02020205;02;02;02;05;1;13181;13801;4847;7993;36,8;57,9
2011;02020206;02;02;02;06;1;16559;17293;5673;9338;34,3;54,0
2011;02030301;02;03;03;01;1;8252;8681;3060;5100;37,1;58,7
2011;02030302;02;03;03;02;1;11878;12461;4394;7175;37,0;57,6
2011;02030401;02;03;04;01;1;13473;14045;4520;7577;33,5;53,9
2011;02030402;02;03;04;02;1;10266;10643;3687;5892;35,9;55,4
2011;02040501;02;04;05;01;1;4960;5140;2713;3567;54,7;69,4
2011;02040502;02;04;05;02;1;6250;6453;2500;3593;40,0;55,7
2011;02040503;02;04;05;03;1;9270;9552;2535;4388;27,3;45,9
2011;02040701;02;04;07;01;1;11238;11596;4506;6398;40,1;55,2
2011;02040702;02;04;07;02;1;9403;9732;2960;5009;31,5;51,5
2011;02040703;02;04;07;03;1;447;474;95;174;21,3;36,7
2011;02050601;02;05;06;01;1;7801;8023;1642;3226;21,0;40,2
2011;02050602;02;05;06;02;1;16767;17503;3408;7480;20,3;42,7
2011;02050801;02;05;08;01;1;16177;16763;3301;6942;20,4;41,4
2011;02050802;02;05;08;02;1;17245;17765;3257;7203;18,9;40,5
2011;02050803;02;05;08;03;1;5794;5958;1477;2685;25,5;45,1
2011;02050804;02;05;08;04;1;2548;2743;514;1258;20,2;45,9
2011;03010101;03;01;01;01;2;2595;2704;1203;1694;46,4;62,6
2011;03010102;03;01;01;02;2;8982;9408;3909;5784;43,5;61,5
2011;03010104;03;01;01;04;2;172;181;61;99;35,5;54,7
2011;03020203;03;02;02;03;2;1753;1825;750;1046;42,8;57,3
2011;03020209;03;02;02;09;2;11656;12378;4222;7175;36,2;58,0
2011;03020210;03;02;02;10;2;8936;9424;3153;5547;35,3;58,9
2011;03020307;03;02;03;07;2;15010;15868;5746;9722;38,3;61,3
2011;03030405;03;03;04;05;2;9412;9987;3219;5011;34,2;50,2
2011;03030406;03;03;04;06;2;7497;7851;4373;6134;58,3;78,1
2011;03030711;03;03;07;11;2;6077;6342;3455;4638;56,9;73,1
2011;03030715;03;03;07;15;2;6033;6281;3235;4580;53,6;72,9
2011;03030716;03;03;07;16;2;1059;1091;766;934;72,3;85,6
2011;03040508;03;04;05;08;2;4045;4287;1668;2783;41,2;64,9
2011;03040512;03;04;05;12;2;8442;8882;3842;5821;45,5;65,5
2011;03040513;03;04;05;13;2;2884;3067;1212;1884;42,0;61,4
2011;03040614;03;04;06;14;2;28492;30127;10520;17395;36,9;57,7
2011;03040818;03;04;08;18;2;28789;29942;11165;17303;38,8;57,8
2011;03050919;03;05;09;19;2;4516;4659;1946;2758;43,1;59,2
2011;03050920;03;05;09;20;2;5707;5982;2064;3334;36,2;55,7
2011;03050923;03;05;09;23;2;7286;7560;1926;3558;26,4;47,1
2011;03050924;03;05;09;24;2;4704;4931;1252;2401;26,6;48,7
2011;03050925;03;05;09;25;2;7231;7691;2467;4182;34,1;54,4
2011;03051017;03;05;10;17;2;3741;3879;1234;2040;33,0;52,6
2011;03051021;03;05;10;21;2;5982;6177;2713;3760;45,4;60,9
2011;03051022;03;05;10;22;2;4124;4314;1811;2636;43,9;61,1
2011;03061126;03;06;11;26;1;12535;13040;3334;6061;26,6;46,5
2011;03061131;03;06;11;31;1;8538;8929;2168;4197;25,4;47,0
2011;03061227;03;06;12;27;1;12515;12982;3817;6349;30,5;48,9
2011;03061228;03;06;12;28;1;11200;11507;3440;6278;30,7;54,6
2011;03061332;03;06;13;32;1;18349;19383;4148;8937;22,6;46,1
2011;03061429;03;06;14;29;1;9569;9811;5355;6862;56,0;69,9
2011;03061430;03;06;14;30;1;2709;2796;1485;1891;54,8;67,6
2011;03061434;03;06;14;34;1;5212;5370;1376;2386;26,4;44,4
2011;03061435;03;06;14;35;1;3502;3627;1101;1892;31,4;52,2
2011;03061441;03;06;14;41;1;1326;1454;0;281;0,0;19,3
2011;03071536;03;07;15;36;1;8797;9283;2087;4351;23,7;46,9
2011;03071537;03;07;15;37;1;12314;13057;3513;6617;28,5;50,7
2011;03071633;03;07;16;33;1;2311;2405;1146;1676;49,6;69,7
2011;03071638;03;07;16;38;1;14124;14924;3923;7255;27,8;48,6
2011;03071639;03;07;16;39;1;10177;10925;2916;5610;28,7;51,4
2011;04010101;04;01;01;01;2;9088;9464;3983;5724;43,8;60,5
2011;04010102;04;01;01;02;2;683;689;394;453;57,7;65,7
2011;04010103;04;01;01;03;2;6667;6962;3211;4479;48,2;64,3
2011;04020204;04;02;02;04;2;115;124;54;85;47,0;68,5
2011;04020205;04;02;02;05;2;1124;1170;660;853;58,7;72,9
2011;04020206;04;02;02;06;2;2479;2522;1037;1581;41,8;62,7
2011;04020207;04;02;02;07;2;2407;2508;1021;1612;42,4;64,3
2011;04020208;04;02;02;08;2;2558;2697;1216;1763;47,5;65,4
2011;04020209;04;02;02;09;2;2859;3004;1450;1916;50,7;63,8
2011;04020310;04;02;03;10;2;552;566;175;246;31,7;43,5
2011;04020311;04;02;03;11;2;12969;13474;6297;8895;48,6;66,0
2011;04020312;04;02;03;12;2;4536;4700;2026;2948;44,7;62,7
2011;04020313;04;02;03;13;2;6309;6501;2708;3917;42,9;60,3
2011;04020314;04;02;03;14;2;8;8;8;8;100,0;100,0
2011;04030415;04;03;04;15;1;2520;2583;646;1185;25,6;45,9
2011;04030416;04;03;04;16;1;9178;9640;3829;5796;41,7;60,1
2011;04030417;04;03;04;17;1;9494;9872;3793;5997;40,0;60,7
2011;04030518;04;03;05;18;1;8338;8587;3418;5153;41,0;60,0
2011;04030519;04;03;05;19;1;4799;4953;1815;2841;37,8;57,4
2011;04030620;04;03;06;20;1;7762;8020;3215;4850;41,4;60,5
