ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
202012;01011101;01;01;11;01;1;1387;751;636;3;3;9;14;9;3;6;6;9;0;0;7;34;129;133;190;224;139;125;64;60;54;38;21;12;18;31;31;3;12;0;0;3;35;24;7;163;935;113;92;15
202012;01011102;01;01;11;02;1;73;48;25;0;0;3;0;0;0;0;0;0;0;0;0;0;6;6;13;23;7;3;3;3;3;0;0;0;3;0;0;0;0;0;0;0;3;0;0;6;58;3;3;0
202012;01011103;01;01;11;03;1;1853;988;865;0;16;9;19;6;3;9;9;9;16;10;27;28;140;111;157;255;210;159;134;126;106;58;39;44;20;60;16;45;9;3;0;0;50;56;27;168;1152;203;140;57
202012;01011104;01;01;11;04;1;1787;996;791;10;9;6;19;12;14;0;25;27;7;16;15;44;169;151;206;258;186;156;110;95;97;40;18;15;21;21;16;6;9;6;3;10;46;89;15;213;1162;155;73;24
202012;01011105;01;01;11;05;1;836;459;377;10;6;3;15;8;9;3;22;9;4;3;28;15;35;28;51;155;116;92;64;54;39;22;12;7;13;3;4;3;3;0;0;10;32;50;28;50;560;73;27;6
202012;01011201;01;01;12;01;1;1134;627;507;0;7;12;21;13;0;7;21;16;9;3;13;39;81;52;110;186;145;75;86;58;53;13;21;21;19;20;11;16;3;3;0;0;53;56;13;120;712;87;71;22
202012;01011202;01;01;12;02;1;228;114;114;0;3;3;6;0;0;3;0;0;0;0;10;3;10;3;25;28;40;33;24;12;3;10;3;0;3;3;3;0;0;0;0;0;12;3;10;13;165;16;9;0
202012;01011203;01;01;12;03;1;425;216;209;3;3;0;6;0;7;0;6;9;3;3;7;3;17;4;38;75;65;63;18;42;22;3;3;4;3;9;0;3;0;3;3;3;9;28;7;20;305;28;16;9
202012;01011204;01;01;12;04;1;2814;1429;1385;16;34;30;49;27;18;26;44;38;28;10;40;59;125;131;251;529;413;246;171;160;111;71;33;32;20;65;18;3;3;13;0;16;140;164;40;184;1901;215;135;19
202012;01011301;01;01;13;01;1;2153;1131;1022;15;18;21;18;16;13;3;12;21;12;10;0;28;104;120;225;505;345;224;155;96;58;24;15;10;39;27;13;6;0;0;0;15;73;71;0;132;1670;97;89;6
202012;01011302;01;01;13;02;1;3308;1664;1644;15;15;21;43;16;18;18;36;24;45;13;31;35;142;161;339;634;495;376;274;206;131;55;31;9;27;50;27;15;0;6;0;15;95;154;31;177;2485;217;113;21
202012;01011303;01;01;13;03;1;3470;1840;1630;25;22;30;50;12;18;16;25;23;35;21;24;50;219;229;426;730;524;303;202;166;123;51;33;16;35;32;12;6;9;3;0;25;114;138;24;269;2580;207;95;18
202012;01011304;01;01;13;04;1;2656;1323;1333;22;25;24;50;22;25;31;43;36;48;15;50;89;187;142;291;417;288;260;132;150;115;59;29;18;33;30;15;10;0;0;0;22;121;198;50;276;1680;203;96;10
202012;01011305;01;01;13;05;1;2765;1516;1249;28;35;21;54;22;13;15;21;21;12;3;29;50;140;122;313;574;421;239;176;164;93;62;26;29;16;27;26;10;3;0;0;28;132;85;29;190;2009;181;98;13
202012;01011306;01;01;13;06;1;3347;1745;1602;14;12;26;38;9;12;12;19;9;3;9;28;156;556;250;332;525;430;281;175;158;123;37;22;28;25;30;16;6;6;0;0;14;85;64;28;712;2151;182;99;12
202012;01011401;01;01;14;01;1;5438;2742;2696;44;36;34;100;41;41;26;71;55;48;14;54;80;282;261;608;1231;864;549;397;253;138;60;30;22;19;44;16;20;0;0;0;44;211;255;54;362;4163;228;101;20
202012;01011402;01;01;14;02;1;3619;1821;1798;21;31;29;53;24;25;19;26;32;23;13;26;39;172;141;357;798;672;426;271;185;102;34;25;12;18;24;15;3;3;0;0;21;137;138;26;211;2850;161;69;6
202012;01022101;01;02;21;01;1;1299;726;573;15;12;9;12;6;7;13;31;26;15;6;21;41;67;53;163;187;161;90;90;72;65;31;16;23;6;27;22;9;0;3;0;15;39;98;21;108;816;112;78;12
