"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"EINW10";"EINW5";"DAU10";"DAU5";"PDAU10";"PDAU5"
"2010";"01011101";"01";"01";"11";"01";"1";2559;2605;1013;1565;39,60;60,10
"2010";"01011102";"01";"01";"11";"02";"1";163;168;77;103;47,20;61,30
"2010";"01011103";"01";"01";"11";"03";"1";4422;4618;1545;2473;34,90;53,60
"2010";"01011104";"01";"01";"11";"04";"1";3283;3473;982;1651;29,90;47,50
"2010";"01011105";"01";"01";"11";"05";"1";751;770;110;252;14,60;32,70
"2010";"01011201";"01";"01";"12";"01";"1";1885;1960;730;1226;38,70;62,60
"2010";"01011202";"01";"01";"12";"02";"1";398;413;149;217;37,40;52,50
"2010";"01011203";"01";"01";"12";"03";"1";756;778;314;442;41,50;56,80
"2010";"01011204";"01";"01";"12";"04";"1";5187;5332;2116;3162;40,80;59,30
"2010";"01011301";"01";"01";"13";"01";"1";4258;4385;941;1814;22,10;41,40
"2010";"01011302";"01";"01";"13";"02";"1";10590;11142;2976;5491;28,10;49,30
"2010";"01011303";"01";"01";"13";"03";"1";7598;7781;2893;4255;38,10;54,70
"2010";"01011304";"01";"01";"13";"04";"1";7651;7896;3790;4937;49,50;62,50
"2010";"01011305";"01";"01";"13";"05";"1";5697;5846;2811;3743;49,30;64,00
"2010";"01011306";"01";"01";"13";"06";"1";6899;7097;2661;4073;38,60;57,40
"2010";"01011401";"01";"01";"14";"01";"1";11975;12516;2667;5303;22,30;42,40
"2010";"01011402";"01";"01";"14";"02";"1";9983;10400;2200;4299;22,00;41,30
"2010";"01022101";"01";"02";"21";"01";"1";2804;2890;642;1165;22,90;40,30
"2010";"01022102";"01";"02";"21";"02";"1";5048;5293;1338;2420;26,50;45,70
"2010";"01022103";"01";"02";"21";"03";"1";144;160;33;72;22,90;45,00
"2010";"01022104";"01";"02";"21";"04";"1";15329;15941;4825;7827;31,50;49,10
"2010";"01022105";"01";"02";"21";"05";"1";4183;4411;1232;2157;29,50;48,90
"2010";"01022106";"01";"02";"21";"06";"1";9871;10257;3993;5936;40,50;57,90
"2010";"01022201";"01";"02";"22";"01";"1";8811;9180;2730;4369;31,00;47,60
"2010";"01022202";"01";"02";"22";"02";"1";1238;1331;513;839;41,40;63,00
"2010";"01022203";"01";"02";"22";"03";"1";5635;5955;1966;3186;34,90;53,50
"2010";"01022204";"01";"02";"22";"04";"1";5094;5283;1955;3056;38,40;57,80
"2010";"01022205";"01";"02";"22";"05";"1";2730;2901;976;1576;35,80;54,30
"2010";"01022206";"01";"02";"22";"06";"1";2660;2783;868;1492;32,60;53,60
"2010";"01022207";"01";"02";"22";"07";"1";5284;5444;2062;3058;39,00;56,20
"2010";"01033101";"01";"03";"31";"01";"1";20340;21524;5960;10125;29,30;47,00
"2010";"01033102";"01";"03";"31";"02";"1";9518;10061;2830;4749;29,70;47,20
"2010";"01033201";"01";"03";"32";"01";"1";10792;11665;3834;6464;35,50;55,40
"2010";"01033202";"01";"03";"32";"02";"1";8380;8820;3245;5049;38,70;57,20
"2010";"01033203";"01";"03";"32";"03";"1";11177;11903;3491;6008;31,20;50,50
"2010";"01044101";"01";"04";"41";"01";"1";17001;17698;5956;9204;35,00;52,00
"2010";"01044102";"01";"04";"41";"02";"1";13818;14305;5484;8154;39,70;57,00
"2010";"01044103";"01";"04";"41";"03";"1";6708;6996;1967;3340;29,30;47,70
"2010";"01044201";"01";"04";"42";"01";"1";18381;19602;5257;9391;28,60;47,90
"2010";"01044202";"01";"04";"42";"02";"1";13602;14199;3349;5904;24,60;41,60
"2010";"01044203";"01";"04";"42";"03";"1";13227;13864;3858;6469;29,20;46,70
"2010";"02010101";"02";"01";"01";"01";"1";5428;5749;1661;2890;30,60;50,30
"2010";"02010102";"02";"01";"01";"02";"1";10952;11755;3891;6299;35,50;53,60
"2010";"02010103";"02";"01";"01";"03";"1";12939;13763;4909;8044;37,90;58,40
"2010";"02010104";"02";"01";"01";"04";"1";4276;4578;1658;2623;38,80;57,30
"2010";"02020201";"02";"02";"02";"01";"1";237;254;56;109;23,60;42,90
"2010";"02020202";"02";"02";"02";"02";"1";4912;5146;1711;2775;34,80;53,90
"2010";"02020203";"02";"02";"02";"03";"1";8905;9296;3220;4997;36,20;53,80
"2010";"02020204";"02";"02";"02";"04";"1";10632;11080;3522;5842;33,10;52,70
"2010";"02020205";"02";"02";"02";"05";"1";13040;13652;4725;7658;36,20;56,10
"2010";"02020206";"02";"02";"02";"06";"1";16283;17040;5383;8937;33,10;52,40
"2010";"02030301";"02";"03";"03";"01";"1";8201;8632;2991;4945;36,50;57,30
"2010";"02030302";"02";"03";"03";"02";"1";11706;12288;4228;6826;36,10;55,60
"2010";"02030401";"02";"03";"04";"01";"1";13335;13885;4426;7277;33,20;52,40
"2010";"02030402";"02";"03";"04";"02";"1";10127;10518;3601;5681;35,60;54,00
"2010";"02040501";"02";"04";"05";"01";"1";4983;5150;2747;3614;55,10;70,20
"2010";"02040502";"02";"04";"05";"02";"1";6209;6397;2448;3520;39,40;55,00
"2010";"02040503";"02";"04";"05";"03";"1";9036;9301;2500;4147;27,70;44,60
"2010";"02040701";"02";"04";"07";"01";"1";10944;11281;4445;6282;40,60;55,70
"2010";"02040702";"02";"04";"07";"02";"1";9343;9642;2891;4744;30,90;49,20
"2010";"02040703";"02";"04";"07";"03";"1";417;447;89;127;21,30;28,40
"2010";"02050601";"02";"05";"06";"01";"1";7549;7760;1584;2969;21,00;38,30
"2010";"02050602";"02";"05";"06";"02";"1";16392;17106;3127;7060;19,10;41,30
"2010";"02050801";"02";"05";"08";"01";"1";15915;16491;3094;6436;19,40;39,00
