ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;MH_E;MH_EM;MH_EW;MH_E00_01;MH_E01_02;MH_E02_03;MH_E03_05;MH_E05_06;MH_E06_07;MH_E07_08;MH_E08_10;MH_E10_12;MH_E12_14;MH_E14_15;MH_E15_18;MH_E18_21;MH_E21_25;MH_E25_27;MH_E27_30;MH_E30_35;MH_E35_40;MH_E40_45;MH_E45_50;MH_E50_55;MH_E55_60;MH_E60_63;MH_E63_65;MH_E65_67;MH_E67_70;MH_E70_75;MH_E75_80;MH_E80_85;MH_E85_90;MH_E90_95;MH_E95_110;MH_U1;MH_1U6;MH_6U15;MH_15U18;MH_18U25;MH_25U55;MH_55U65;MH_65U80;MH_80U110
202012;01011101;01;01;11;01;1;2049;1067;982;16;22;24;46;21;19;21;24;34;17;3;25;46;141;146;219;290;177;165;113;101;88;48;31;18;38;60;53;28;15;0;0;16;113;118;25;187;1211;167;169;43
202012;01011102;01;01;11;02;1;90;59;31;0;0;3;3;0;0;0;0;0;0;3;4;0;6;6;13;26;7;7;3;3;3;0;0;0;3;0;0;0;0;0;0;0;6;3;4;6;65;3;3;0
202012;01011103;01;01;11;03;1;3041;1592;1449;24;40;46;73;28;27;33;50;53;51;34;84;65;187;130;198;321;286;239;186;182;167;103;65;78;62;92;42;58;23;9;5;24;187;248;84;252;1542;335;274;95
202012;01011104;01;01;11;04;1;2994;1635;1359;31;39;18;65;37;38;27;75;86;66;44;96;89;241;175;260;328;262;222;196;146;163;71;27;37;52;42;25;12;12;9;3;31;159;336;96;330;1589;261;156;36
202012;01011105;01;01;11;05;1;1109;590;519;13;13;6;27;20;18;6;32;16;10;3;34;21;50;39;57;179;138;105;83;80;55;25;19;10;13;14;7;7;6;3;0;13;66;85;34;71;681;99;44;16
202012;01011201;01;01;12;01;1;1593;847;746;3;19;18;34;22;9;16;31;31;22;12;39;54;106;65;125;213;176;115;123;86;69;29;27;27;31;38;28;16;6;3;0;3;93;121;39;160;903;125;124;25
202012;01011202;01;01;12;02;1;316;157;159;6;6;6;12;3;3;6;4;7;0;0;13;7;13;6;31;28;50;36;27;18;6;10;6;0;3;6;3;0;0;0;0;6;27;20;13;20;196;22;12;0
202012;01011203;01;01;12;03;1;630;317;313;11;3;6;18;10;16;3;16;17;12;13;13;3;23;10;38;99;90;69;33;52;32;6;3;7;6;12;0;3;0;3;3;11;37;77;13;26;391;41;25;9
202012;01011204;01;01;12;04;1;4291;2150;2141;47;68;74;122;61;45;46;85;72;75;26;100;85;176;183;311;676;533;338;253;221;199;103;56;56;41;117;47;32;21;22;0;47;325;349;100;261;2515;358;261;75
202012;01011301;01;01;13;01;1;3077;1571;1506;37;54;58;77;34;35;22;52;42;33;26;44;43;140;148;278;604;434;286;215;133;83;41;29;16;48;33;23;9;0;0;0;37;223;210;44;183;2098;153;120;9
202012;01011302;01;01;13;02;1;5060;2557;2503;54;73;89;134;55;59;45;118;91;133;58;141;79;208;187;405;755;633;517;391;311;217;76;49;22;31;56;40;21;6;6;0;54;351;504;141;287;3199;342;149;33
202012;01011303;01;01;13;03;1;4845;2554;2291;47;60;66;127;43;46;49;76;77;82;40;75;84;287;269;517;840;630;416;271;233;172;71;48;29;57;55;28;31;16;3;0;47;296;370;75;371;3176;291;169;50
202012;01011304;01;01;13;04;1;4134;2036;2098;47;62;69;146;64;73;61;112;92;105;46;153;149;255;178;360;495;371;321;188;195;161;80;41;51;55;58;62;41;30;13;0;47;341;489;153;404;2108;282;226;84
202012;01011305;01;01;13;05;1;4188;2213;1975;69;77;66;129;57;45;45;76;69;61;25;74;83;195;156;392;723;556;322;257;238;143;65;33;32;35;56;62;27;17;3;0;69;329;321;74;278;2644;241;185;47
202012;01011306;01;01;13;06;1;4967;2522;2445;59;73;74;141;47;49;33;98;74;51;42;89;188;629;274;401;654;604;389;292;201;187;65;34;53;39;47;40;28;12;0;0;59;335;347;89;817;2815;286;179;40
202012;01011401;01;01;14;01;1;7829;3872;3957;122;115;114;239;116;87;84;196;156;139;60;160;127;357;305;710;1473;1091;728;564;362;198;83;42;25;28;65;46;31;6;0;0;122;584;722;160;484;5233;323;164;37
202012;01011402;01;01;14;02;1;5433;2704;2729;81;89;84;178;88;78;67;113;119;100;56;91;66;222;179;432;959;840;562;397;275;138;53;34;12;27;42;24;15;6;0;6;81;439;533;91;288;3644;225;105;27
202012;01022101;01;02;21;01;1;1929;1060;869;24;31;27;52;15;20;22;55;49;34;15;60;62;91;78;193;244;203;140;131;87;95;51;28;33;12;33;25;12;0;7;0;24;125;195;60;153;1076;174;103;19
202012;01022102;01;02;21;02;1;4318;2348;1970;56;54;48;98;42;54;36;95;69;72;41;113;131;345;214;376;517;410;290;292;280;198;104;52;44;76;122;37;34;12;3;3;56;242;367;113;476;2379;354;279;52
202012;01022103;01;02;21;03;1;218;114;104;0;3;0;12;0;3;6;9;18;3;7;13;3;19;14;6;21;9;22;7;16;6;9;3;3;3;3;0;0;0;0;0;0;15;46;13;22;95;18;9;0
202012;01022104;01;02;21;04;1;9423;5101;4322;73;96;107;209;98;90;92;184;198;216;93;270;210;601;443;735;1186;883;684;656;558;498;225;147;148;158;251;185;91;25;9;4;73;510;873;270;811;5145;870;742;129
202012;01022105;01;02;21;05;1;3087;1688;1399;32;35;36;89;32;36;33;63;72;78;42;105;110;197;139;236;336;282;251;198;199;157;53;39;35;38;71;39;35;12;4;3;32;192;324;105;307;1641;249;183;54
202012;01022106;01;02;21;06;1;4035;2019;2016;61;44;36;100;57;39;41;63;71;85;36;131;95;200;150;304;527;353;351;266;211;208;112;69;64;91;120;84;45;15;6;0;61;237;335;131;295;2162;389;359;66
202012;01022201;01;02;22;01;1;5466;2888;2578;44;68;85;123;75;65;57;127;108;117;48;164;130;322;294;480;761;446;415;406;265;290;129;58;74;60;133;71;38;10;3;0;44;351;522;164;452;3067;477;338;51
202012;01022202;01;02;22;02;1;3486;1817;1669;68;72;59;94;46;55;39;57;46;47;27;66;58;203;186;435;769;410;220;152;115;81;32;16;21;22;47;12;25;6;0;0;68;271;271;66;261;2287;129;102;31
202012;01022203;01;02;22;03;1;4169;2123;2046;39;62;58;126;52;53;42;118;107;132;56;156;129;232;130;243;434;337;305;295;270;191;88;63;49;70;128;99;68;31;6;0;39;298;508;156;361;2014;342;346;105
202012;01022204;01;02;22;04;1;2546;1346;1200;29;31;27;54;24;25;28;60;49;37;25;67;25;132;110;225;324;290;215;158;178;116;57;39;34;46;61;28;38;11;3;0;29;136;224;67;157;1500;212;169;52
202012;01022205;01;02;22;05;1;2125;1090;1035;23;35;46;89;31;47;33;64;67;67;40;88;67;99;61;116;167;171;153;129;107;121;65;31;34;46;55;38;29;6;0;0;23;201;318;88;166;904;217;173;35
202012;01022206;01;02;22;06;1;1328;679;649;12;22;12;46;12;25;16;21;19;34;21;34;23;70;43;93;154;159;105;89;86;70;46;24;19;19;21;24;6;3;0;0;12;92;136;34;93;729;140;83;9
