ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;MH_E;MH_EM;MH_EW;MH_E00_01;MH_E01_02;MH_E02_03;MH_E03_05;MH_E05_06;MH_E06_07;MH_E07_08;MH_E08_10;MH_E10_12;MH_E12_14;MH_E14_15;MH_E15_18;MH_E18_21;MH_E21_25;MH_E25_27;MH_E27_30;MH_E30_35;MH_E35_40;MH_E40_45;MH_E45_50;MH_E50_55;MH_E55_60;MH_E60_63;MH_E63_65;MH_E65_67;MH_E67_70;MH_E70_75;MH_E75_80;MH_E80_85;MH_E85_90;MH_E90_95;MH_E95_110;MH_U1;MH_1U6;MH_6U15;MH_15U18;MH_18U25;MH_25U55;MH_55U65;MH_65U80;MH_80U110
201812;04020313;04;02;03;13;2;2881;1429;1452;38;36;45;77;33;27;34;51;69;64;29;60;80;190;125;200;309;260;220;191;147;174;55;37;52;67;76;74;36;9;16;0;38;191;274;60;270;1452;266;269;61
201812;04020314;04;02;03;14;2;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;6;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;6;3;0
201812;04030415;04;03;04;15;1;1618;872;746;10;22;12;12;21;9;3;18;12;33;14;27;32;149;86;150;189;167;105;133;88;72;51;28;29;30;57;30;14;9;6;0;10;67;89;27;181;918;151;146;29
201812;04030416;04;03;04;16;1;5221;2538;2683;64;88;72;135;67;69;57;106;111;105;62;161;142;257;162;302;478;435;396;404;327;285;157;98;88;131;175;161;72;33;9;12;64;362;510;161;399;2504;540;555;126
201812;04030417;04;03;04;17;1;4294;2126;2168;53;56;54;112;45;56;55;98;100;77;45;148;116;214;137;244;433;366;395;320;293;244;113;55;66;99;135;87;36;12;15;15;53;267;431;148;330;2188;412;387;78
201812;04030518;04;03;05;18;1;4335;2196;2139;49;51;68;85;46;47;31;85;73;72;37;95;96;243;182;293;460;381;343;294;317;234;142;73;85;113;142;89;59;18;17;15;49;250;345;95;339;2270;449;429;109
201812;04030519;04;03;05;19;1;2715;1444;1271;27;30;45;72;28;27;27;66;52;63;26;70;51;119;114;190;330;285;241;200;154;156;75;38;42;53;51;39;29;9;0;6;27;175;261;70;170;1514;269;185;44
201812;04030620;04;03;06;20;1;3973;2004;1969;37;31;53;74;42;36;37;73;95;68;37;86;101;183;149;235;449;355;334;321;294;221;112;67;84;97;125;87;46;29;9;6;37;200;346;86;284;2137;400;393;90
201812;04030621;04;03;06;21;1;1750;934;816;16;19;18;28;21;19;9;31;36;31;12;56;34;115;84;133;211;142;126;159;118;87;54;27;28;38;43;27;22;3;3;0;16;86;138;56;149;973;168;136;28
201812;04030622;04;03;06;22;1;5152;2575;2577;50;65;66;109;48;73;41;86;100;82;51;130;108;240;151;293;545;487;418;391;351;308;156;122;102;162;203;84;58;38;16;18;50;288;433;130;348;2636;586;551;130
