ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;EINW10;EINW5;DAU10;DAU5;PDAU10;PDAU5
2009;01011101;01;01;11;01;1;2825;2872;1012;1645;35,8;57,3
2009;01011102;01;01;11;02;1;172;176;76;108;44,2;61,4
2009;01011103;01;01;11;03;1;4273;4456;1577;2551;36,9;57,2
2009;01011104;01;01;11;04;1;3306;3490;1015;1689;30,7;48,4
2009;01011105;01;01;11;05;1;798;820;101;267;12,7;32,6
2009;01011201;01;01;12;01;1;1916;1991;756;1234;39,5;62,0
2009;01011202;01;01;12;02;1;404;418;150;222;37,1;53,1
2009;01011203;01;01;12;03;1;817;843;342;494;41,9;58,6
2009;01011204;01;01;12;04;1;5334;5467;2119;3230;39,7;59,1
2009;01011301;01;01;13;01;1;4231;4350;898;1746;21,2;40,1
2009;01011302;01;01;13;02;1;10618;11161;2851;5452;26,9;48,8
2009;01011303;01;01;13;03;1;7559;7727;2870;4246;38,0;55,0
2009;01011304;01;01;13;04;1;7790;8051;3737;4954;48,0;61,5
2009;01011305;01;01;13;05;1;5700;5827;2880;3774;50,5;64,8
2009;01011306;01;01;13;06;1;6869;7062;2512;4061;36,6;57,5
2009;01011401;01;01;14;01;1;11929;12455;2508;5171;21,0;41,5
2009;01011402;01;01;14;02;1;10075;10473;2075;4237;20,6;40,5
2009;01022101;01;02;21;01;1;2732;2817;632;1162;23,1;41,2
2009;01022102;01;02;21;02;1;5040;5280;1353;2441;26,8;46,2
2009;01022103;01;02;21;03;1;144;161;34;64;23,6;39,8
2009;01022104;01;02;21;04;1;15122;15727;4763;7741;31,5;49,2
2009;01022105;01;02;21;05;1;4068;4313;1230;2130;30,2;49,4
2009;01022106;01;02;21;06;1;9934;10339;3996;5917;40,2;57,2
2009;01022201;01;02;22;01;1;8899;9287;2661;4494;29,9;48,4
2009;01022202;01;02;22;02;1;1241;1335;513;832;41,3;62,3
2009;01022203;01;02;22;03;1;5663;5964;1947;3144;34,4;52,7
2009;01022204;01;02;22;04;1;5098;5290;1955;3014;38,3;57,0
2009;01022205;01;02;22;05;1;2695;2849;995;1555;36,9;54,6
2009;01022206;01;02;22;06;1;2623;2731;774;1459;29,5;53,4
2009;01022207;01;02;22;07;1;5461;5623;2077;3153;38,0;56,1
2009;01033101;01;03;31;01;1;20122;21322;6009;10233;29,9;48,0
2009;01033102;01;03;31;02;1;9641;10175;2955;4827;30,7;47,4
2009;01033201;01;03;32;01;1;10774;11641;3656;6231;33,9;53,5
2009;01033202;01;03;32;02;1;8397;8834;3204;5081;38,2;57,5
2009;01033203;01;03;32;03;1;11306;12018;3470;6048;30,7;50,3
2009;01044101;01;04;41;01;1;16976;17669;5888;9282;34,7;52,5
2009;01044102;01;04;41;02;1;13728;14178;5553;8119;40,5;57,3
2009;01044103;01;04;41;03;1;6872;7147;2002;3416;29,1;47,8
2009;01044201;01;04;42;01;1;18355;19579;5358;9392;29,2;48,0
2009;01044202;01;04;42;02;1;13811;14415;3461;6134;25,1;42,6
2009;01044203;01;04;42;03;1;13412;14071;3941;6658;29,4;47,3
