"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"EINW10";"EINW5";"DAU10";"DAU5";"PDAU10";"PDAU5"
"2012";"01011101";"01";"01";"11";"01";"1";2787;2837;1029;1545;36,92;54,45
"2012";"01011102";"01";"01";"11";"02";"1";172;175;80;102;46,51;58,28
"2012";"01011103";"01";"01";"11";"03";"1";4436;4622;1606;2560;36,20;55,38
"2012";"01011104";"01";"01";"11";"04";"1";3541;3731;1057;1784;29,85;47,81
"2012";"01011105";"01";"01";"11";"05";"1";945;972;127;370;13,43;38,06
"2012";"01011201";"01";"01";"12";"01";"1";1942;2015;869;1335;44,74;66,25
"2012";"01011202";"01";"01";"12";"02";"1";438;453;152;232;34,70;51,21
"2012";"01011203";"01";"01";"12";"03";"1";799;814;291;416;36,42;51,10
"2012";"01011204";"01";"01";"12";"04";"1";5494;5669;2226;3334;40,51;58,81
"2012";"01011301";"01";"01";"13";"01";"1";4480;4616;1025;2043;22,87;44,25
"2012";"01011302";"01";"01";"13";"02";"1";10863;11460;3298;6179;30,35;53,91
"2012";"01011303";"01";"01";"13";"03";"1";7629;7823;2877;4473;37,71;57,17
"2012";"01011304";"01";"01";"13";"04";"1";7736;7994;3808;5471;49,22;68,43
"2012";"01011305";"01";"01";"13";"05";"1";6011;6172;2848;3936;47,37;63,77
"2012";"01011306";"01";"01";"13";"06";"1";7320;7522;2926;4393;39,97;58,40
"2012";"01011401";"01";"01";"14";"01";"1";12511;13136;2958;6258;23,64;47,64
"2012";"01011402";"01";"01";"14";"02";"1";10598;11140;2337;4813;22,05;43,20
"2012";"01022101";"01";"02";"21";"01";"1";2931;3028;699;1388;23,84;45,83
"2012";"01022102";"01";"02";"21";"02";"1";5343;5577;1372;2610;25,67;46,79
"2012";"01022103";"01";"02";"21";"03";"1";178;196;25;86;14,04;43,87
"2012";"01022104";"01";"02";"21";"04";"1";15660;16286;4969;8653;31,73;53,13
"2012";"01022105";"01";"02";"21";"05";"1";4442;4645;1314;2375;29,58;51,13
"2012";"01022106";"01";"02";"21";"06";"1";10100;10504;4004;6224;39,64;59,25
"2012";"01022201";"01";"02";"22";"01";"1";9192;9549;2873;4829;31,25;50,57
"2012";"01022202";"01";"02";"22";"02";"1";1298;1392;549;855;42,29;61,42
"2012";"01022203";"01";"02";"22";"03";"1";6010;6338;2145;3514;35,69;55,44
"2012";"01022204";"01";"02";"22";"04";"1";5243;5433;2036;3216;38,83;59,19
"2012";"01022205";"01";"02";"22";"05";"1";2740;2908;1012;1707;36,93;58,70
"2012";"01022206";"01";"02";"22";"06";"1";2729;2864;935;1675;34,26;58,48
"2012";"01022207";"01";"02";"22";"07";"1";5055;5201;2086;3098;41,26;59,56
"2012";"01033101";"01";"03";"31";"01";"1";21737;23043;6369;11199;29,30;48,60
"2012";"01033102";"01";"03";"31";"02";"1";9857;10383;2988;5479;30,31;52,76
"2012";"01033201";"01";"03";"32";"01";"1";10962;11851;3966;7229;36,17;60,99
"2012";"01033202";"01";"03";"32";"02";"1";8605;9063;3445;5445;40,03;60,07
"2012";"01033203";"01";"03";"32";"03";"1";11629;12345;3746;6515;32,21;52,77
"2012";"01044101";"01";"04";"41";"01";"1";17655;18382;6175;10013;34,97;54,47
"2012";"01044102";"01";"04";"41";"02";"1";13948;14421;5454;8378;39,10;58,09
"2012";"01044103";"01";"04";"41";"03";"1";7114;7388;2076;3735;29,18;50,55
"2012";"01044201";"01";"04";"42";"01";"1";19678;20875;5702;10319;28,97;49,43
"2012";"01044202";"01";"04";"42";"02";"1";14503;15087;3568;6547;24,60;43,39
"2012";"01044203";"01";"04";"42";"03";"1";13994;14641;4046;7015;28,91;47,91
"2012";"02010101";"02";"01";"01";"01";"1";5415;5705;1698;2954;31,35;51,77
"2012";"02010102";"02";"01";"01";"02";"1";11252;12050;3978;6731;35,35;55,85
"2012";"02010103";"02";"01";"01";"03";"1";13458;14369;5174;8887;38,44;61,84
"2012";"02010104";"02";"01";"01";"04";"1";4383;4705;1726;2850;39,37;60,57
"2012";"02020201";"02";"02";"02";"01";"1";250;261;61;114;24,40;43,67
"2012";"02020202";"02";"02";"02";"02";"1";5126;5365;1769;2997;34,51;55,86
"2012";"02020203";"02";"02";"02";"03";"1";9250;9657;3344;5320;36,15;55,08
"2012";"02020204";"02";"02";"02";"04";"1";10916;11362;3787;6317;34,69;55,59
"2012";"02020205";"02";"02";"02";"05";"1";13515;14152;5043;8279;37,31;58,50
"2012";"02020206";"02";"02";"02";"06";"1";16873;17652;5816;9634;34,46;54,57
"2012";"02030301";"02";"03";"03";"01";"1";8404;8847;3207;5312;38,16;60,04
"2012";"02030302";"02";"03";"03";"02";"1";11969;12558;4514;7525;37,71;59,92
"2012";"02030401";"02";"03";"04";"01";"1";13613;14204;4664;7829;34,26;55,11
"2012";"02030402";"02";"03";"04";"02";"1";10355;10746;3784;6116;36,54;56,91
"2012";"02040501";"02";"04";"05";"01";"1";4927;5109;2688;3583;54,55;70,13
"2012";"02040502";"02";"04";"05";"02";"1";6318;6521;2534;3710;40,10;56,89
"2012";"02040503";"02";"04";"05";"03";"1";9408;9711;2606;4533;27,69;46,67
"2012";"02040701";"02";"04";"07";"01";"1";11395;11766;4490;6608;39,40;56,16
"2012";"02040702";"02";"04";"07";"02";"1";9582;9918;3003;5171;31,34;52,13
"2012";"02040703";"02";"04";"07";"03";"1";544;571;89;242;16,36;42,38
"2012";"02050601";"02";"05";"06";"01";"1";7924;8153;1713;3383;21,61;41,49
"2012";"02050602";"02";"05";"06";"02";"1";16907;17666;3726;7826;22,03;44,29
"2012";"02050801";"02";"05";"08";"01";"1";16586;17196;3468;7341;20,90;42,69
"2012";"02050802";"02";"05";"08";"02";"1";17540;18127;3466;7688;19,76;42,41
"2012";"02050803";"02";"05";"08";"03";"1";5930;6095;1520;2845;25,63;46,67
"2012";"02050804";"02";"05";"08";"04";"1";2642;2852;626;1357;23,69;47,58
"2012";"03010101";"03";"01";"01";"01";"2";2615;2732;1207;1727;46,15;63,21
"2012";"03010102";"03";"01";"01";"02";"2";9194;9641;3895;5695;42,36;59,07
"2012";"03010104";"03";"01";"01";"04";"2";176;185;64;111;36,36;60,00
"2012";"03020203";"03";"02";"02";"03";"2";1805;1878;827;1026;45,81;54,63
"2012";"03020209";"03";"02";"02";"09";"2";12033;12787;4432;7402;36,83;57,88
"2012";"03020210";"03";"02";"02";"10";"2";9066;9571;3284;5704;36,22;59,59
"2012";"03020307";"03";"02";"03";"07";"2";15166;16029;6220;10267;41,01;64,05
"2012";"03030405";"03";"03";"04";"05";"2";9279;9859;3219;5504;34,69;55,82
"2012";"03030406";"03";"03";"04";"06";"2";7421;7765;4465;6194;60,16;79,76
"2012";"03030711";"03";"03";"07";"11";"2";6042;6315;3273;4301;54,17;68,10
"2012";"03030715";"03";"03";"07";"15";"2";6074;6301;3422;4661;56,33;73,97
"2012";"03030716";"03";"03";"07";"16";"2";1064;1094;789;929;74,15;84,91
"2012";"03040508";"03";"04";"05";"08";"2";3983;4222;1624;2717;40,77;64,35
"2012";"03040512";"03";"04";"05";"12";"2";8527;8966;3969;5909;46,54;65,90
"2012";"03040513";"03";"04";"05";"13";"2";2925;3116;1193;1906;40,78;61,16
"2012";"03040614";"03";"04";"06";"14";"2";29048;30794;10978;17859;37,79;57,99
"2012";"03040818";"03";"04";"08";"18";"2";29191;30479;11425;17835;39,13;58,51
"2012";"03050919";"03";"05";"09";"19";"2";4500;4646;1991;2881;44,24;62,01
"2012";"03050920";"03";"05";"09";"20";"2";5860;6164;2143;3391;36,56;55,01
"2012";"03050923";"03";"05";"09";"23";"2";7471;7786;1986;3766;26,58;48,36
"2012";"03050924";"03";"05";"09";"24";"2";4818;5089;1319;2565;27,37;50,40
"2012";"03050925";"03";"05";"09";"25";"2";7352;7833;2521;4353;34,28;55,57
"2012";"03051017";"03";"05";"10";"17";"2";3792;3945;1239;2193;32,67;55,58
"2012";"03051021";"03";"05";"10";"21";"2";5993;6210;2707;3845;45,16;61,91
"2012";"03051022";"03";"05";"10";"22";"2";4135;4330;1821;2643;44,03;61,03
"2012";"03061126";"03";"06";"11";"26";"1";12922;13465;3463;6322;26,79;46,95
"2012";"03061131";"03";"06";"11";"31";"1";8633;9059;2212;4364;25,62;48,17
