"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"EINW10";"EINW5";"DAU10";"DAU5";"PDAU10";"PDAU5"
"2013";"01011101";"01";"01";"11";"01";"1";2927;2977;1042;1544;36;52
"2013";"01011102";"01";"01";"11";"02";"1";177;179;85;105;48;59
"2013";"01011103";"01";"01";"11";"03";"1";4487;4673;1658;2591;37;55
"2013";"01011104";"01";"01";"11";"04";"1";3758;3961;1065;1857;28;47
"2013";"01011105";"01";"01";"11";"05";"1";1024;1051;138;386;13;37
"2013";"01011201";"01";"01";"12";"01";"1";1927;1998;888;1334;46;67
"2013";"01011202";"01";"01";"12";"02";"1";468;486;149;235;32;48
"2013";"01011203";"01";"01";"12";"03";"1";834;851;296;434;35;51
"2013";"01011204";"01";"01";"12";"04";"1";5634;5815;2281;3426;40;59
"2013";"01011301";"01";"01";"13";"01";"1";4695;4842;1070;2081;23;43
"2013";"01011302";"01";"01";"13";"02";"1";10912;11497;3388;6285;31;55
"2013";"01011303";"01";"01";"13";"03";"1";7818;8042;2888;4584;37;57
"2013";"01011304";"01";"01";"13";"04";"1";7761;8002;3765;5588;49;70
"2013";"01011305";"01";"01";"13";"05";"1";6289;6462;2860;3968;45;61
"2013";"01011306";"01";"01";"13";"06";"1";7569;7791;2986;4470;39;57
"2013";"01011401";"01";"01";"14";"01";"1";13105;13832;3180;6560;24;47
"2013";"01011402";"01";"01";"14";"02";"1";10900;11499;2458;5124;23;45
"2013";"01022101";"01";"02";"21";"01";"1";3089;3188;736;1481;24;46
"2013";"01022102";"01";"02";"21";"02";"1";5588;5818;1478;2737;26;47
"2013";"01022103";"01";"02";"21";"03";"1";191;214;31;93;16;43
"2013";"01022104";"01";"02";"21";"04";"1";15936;16587;5170;9033;32;54
"2013";"01022105";"01";"02";"21";"05";"1";4545;4748;1384;2458;30;52
"2013";"01022106";"01";"02";"21";"06";"1";10518;10986;4099;6460;39;59
"2013";"01022201";"01";"02";"22";"01";"1";9474;9841;2975;5112;31;52
"2013";"01022202";"01";"02";"22";"02";"1";1297;1401;574;916;44;65
"2013";"01022203";"01";"02";"22";"03";"1";5865;6209;2161;3680;37;59
"2013";"01022204";"01";"02";"22";"04";"1";5274;5466;2072;3238;39;59
"2013";"01022205";"01";"02";"22";"05";"1";2800;2963;1018;1782;36;60
"2013";"01022206";"01";"02";"22";"06";"1";2798;2938;994;1749;36;60
"2013";"01022207";"01";"02";"22";"07";"1";5065;5211;2098;3167;41;61
"2013";"01033101";"01";"03";"31";"01";"1";22371;23718;6543;11808;29;50
"2013";"01033102";"01";"03";"31";"02";"1";10096;10646;3112;5761;31;54
"2013";"01033201";"01";"03";"32";"01";"1";11008;11906;4046;7711;37;65
"2013";"01033202";"01";"03";"32";"02";"1";8619;9100;3514;5709;41;63
"2013";"01033203";"01";"03";"32";"03";"1";12109;12805;3910;6887;32;54
"2013";"01044101";"01";"04";"41";"01";"1";17882;18639;6243;10408;35;56
"2013";"01044102";"01";"04";"41";"02";"1";14249;14743;5492;8530;39;58
"2013";"01044103";"01";"04";"41";"03";"1";7305;7565;2179;3882;30;51
"2013";"01044201";"01";"04";"42";"01";"1";20226;21426;5953;10817;29;50
