"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"E_A";"E_AM";"E_AW";"E_A00_01";"E_A01_02";"E_A02_03";"E_A03_05";"E_A05_06";"E_A06_07";"E_A07_08";"E_A08_10";"E_A10_12";"E_A12_14";"E_A14_15";"E_A15_18";"E_A18_21";"E_A21_25";"E_A25_27";"E_A27_30";"E_A30_35";"E_A35_40";"E_A40_45";"E_A45_50";"E_A50_55";"E_A55_60";"E_A60_63";"E_A63_65";"E_A65_67";"E_A67_70";"E_A70_75";"E_A75_80";"E_A80_85";"E_A85_90";"E_A90_95";"E_A95_110";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110"
"202512";"01200626";"01";"20";"06";"26";1681;893;788;3;6;0;9;6;3;7;9;12;18;0;14;40;96;52;176;279;224;169;116;113;88;31;30;34;19;43;38;21;22;3;0;3;21;49;14;136;1129;149;134;46
"202512";"01200627";"01";"20";"06";"27";1121;546;575;7;10;10;10;19;16;15;42;21;15;21;37;26;46;35;56;110;127;90;96;75;62;43;22;27;13;21;19;19;11;0;0;7;49;130;37;72;589;127;80;30
"202512";"01200628";"01";"20";"06";"28";885;440;445;6;6;6;13;0;3;0;12;7;3;6;0;16;46;47;69;162;117;93;68;42;40;24;3;6;21;32;19;6;6;3;3;6;25;31;0;62;598;67;78;18
"202512";"01200629";"01";"20";"06";"29";2087;1116;971;0;3;7;15;6;3;9;10;13;15;6;12;69;247;167;262;388;249;151;98;71;75;41;24;24;12;46;39;16;3;6;0;0;31;56;12;316;1386;140;121;25
"202512";"01300730";"01";"30";"07";"30";3915;2081;1834;6;37;33;68;34;32;38;71;61;70;34;97;131;231;161;265;442;411;293;323;289;230;121;76;39;70;82;75;57;34;0;4;6;172;306;97;362;2184;427;266;95
"202512";"01300731";"01";"30";"07";"31";3700;2047;1653;9;19;27;43;24;21;25;58;50;44;34;70;110;238;198;327;476;449;329;247;229;227;94;70;46;53;71;54;37;11;7;3;9;113;232;70;348;2255;391;224;58
"202512";"01300732";"01";"30";"07";"32";3940;2096;1844;19;16;19;46;40;30;27;58;62;63;28;83;122;223;135;268;496;447;356;335;286;225;139;61;55;68;78;62;41;46;6;0;19;121;268;83;345;2323;425;263;93
"202512";"01300733";"01";"30";"07";"33";4506;2410;2096;10;15;30;27;24;35;28;50;38;59;25;81;149;221;186;278;549;496;411;377;424;306;127;73;72;88;113;103;68;40;3;0;10;96;235;81;370;2721;506;376;111
"202512";"01300834";"01";"30";"08";"34";4409;2168;2241;8;18;23;43;22;20;19;53;49;44;23;67;83;145;135;214;531;527;442;408;378;304;191;90;83;94;139;116;79;46;15;0;8;106;208;67;228;2635;585;432;140
"202512";"01300835";"01";"30";"08";"35";3572;1788;1784;10;6;3;25;9;18;7;20;24;18;7;34;247;473;197;262;395;337;257;258;210;209;113;70;36;48;94;83;60;33;9;0;10;43;94;34;720;1916;392;261;102
"202512";"01300836";"01";"30";"08";"36";6442;3428;3014;29;40;29;85;58;49;49;85;67;82;37;123;157;364;314;498;889;775;545;497;474;360;207;107;94;101;95;108;67;38;13;6;29;212;369;123;521;3992;674;398;124
"202512";"01400937";"01";"40";"09";"37";3860;2066;1794;20;16;12;62;16;12;13;48;61;29;19;75;115;262;180;317;540;423;319;310;247;200;97;75;66;63;96;86;53;19;6;3;20;106;182;75;377;2336;372;311;81
"202512";"01400938";"01";"40";"09";"38";3457;1902;1555;3;15;18;32;9;15;12;25;18;39;17;38;111;199;163;319;509;432;305;302;218;185;107;45;41;66;82;45;53;25;6;3;3;74;126;38;310;2248;337;234;87
"202512";"01400939";"01";"40";"09";"39";2531;1407;1124;3;26;19;25;9;12;21;32;31;32;13;58;62;197;118;199;313;297;222;187;165;146;84;53;33;34;49;51;33;7;0;0;3;79;141;58;259;1501;283;167;40
"202512";"01400940";"01";"40";"09";"40";1493;721;772;4;3;7;16;11;6;8;12;15;21;4;28;31;62;48;110;205;178;141;128;108;90;77;24;31;27;39;46;6;7;0;0;4;37;66;28;93;918;191;143;13
"202512";"01400941";"01";"40";"09";"41";1106;573;533;3;6;6;9;3;3;9;10;3;15;3;27;31;98;61;82;115;108;117;70;79;56;35;15;27;30;32;24;25;4;0;0;3;24;43;27;129;632;106;113;29
"202512";"01400942";"01";"40";"09";"42";3225;1708;1517;9;13;9;20;22;13;21;34;25;23;15;47;111;231;143;284;529;391;235;234;220;184;93;51;34;40;70;75;34;12;3;0;9;64;131;47;342;2036;328;219;49
"202512";"01401043";"01";"40";"10";"43";3318;1717;1601;0;13;15;39;10;17;22;41;50;37;33;60;100;162;114;228;397;316;263;269;283;253;144;74;49;91;76;84;40;35;0;3;0;77;200;60;262;1870;471;300;78
"202512";"01401044";"01";"40";"10";"44";4625;2544;2081;15;9;18;41;18;16;27;49;48;59;18;116;116;250;191;374;637;527;465;362;338;278;170;70;67;78;87;85;68;16;12;0;15;86;217;116;366;2894;518;317;96
"202512";"01401045";"01";"40";"10";"45";2434;1302;1132;6;6;10;18;27;6;19;28;22;39;14;26;61;137;98;162;322;270;230;222;181;159;85;51;45;45;50;42;34;16;3;0;6;61;128;26;198;1485;295;182;53
"202512";"01401046";"01";"40";"10";"46";3123;1740;1383;6;13;22;22;10;12;12;19;26;24;7;48;156;191;181;310;481;358;279;224;186;161;89;49;40;40;83;47;21;6;0;0;6;67;100;48;347;2019;299;210;27
"202512";"01401047";"01";"40";"10";"47";4181;2344;1837;16;16;15;34;9;22;13;34;35;27;20;64;151;409;292;503;599;478;391;236;228;197;93;48;45;40;64;50;30;19;3;0;16;74;151;64;560;2727;338;199;52
"202512";"01401048";"01";"40";"10";"48";4164;2342;1822;12;15;22;32;24;12;16;30;22;21;3;56;176;459;282;358;562;447;319;288;242;200;116;77;60;66;69;79;52;41;6;0;12;93;104;56;635;2498;393;274;99
"202512";"01401049";"01";"40";"10";"49";2775;1445;1330;9;14;6;28;10;24;16;48;28;44;23;49;88;114;79;185;265;269;192;175;235;224;122;76;63;76;116;95;56;30;13;3;9;58;183;49;202;1400;422;350;102
"202512";"02100101";"02";"10";"01";"01";3585;1906;1679;15;29;18;45;15;15;21;38;56;25;10;61;134;246;182;302;513;482;313;224;212;187;99;63;37;53;71;50;26;28;9;6;15;107;165;61;380;2228;349;211;69
"202512";"02100102";"02";"10";"01";"02";3227;1671;1556;9;15;20;24;16;9;10;38;25;22;12;45;77;190;134;276;362;361;304;222;263;212;139;56;75;52;86;63;56;38;13;3;9;75;116;45;267;1922;407;276;110
"202512";"02100103";"02";"10";"01";"03";1738;880;858;10;13;4;21;13;9;6;19;13;15;9;36;51;78;45;98;215;203;167;135;135;135;73;32;30;27;36;43;31;24;9;3;10;51;71;36;129;998;240;136;67
"202512";"02100104";"02";"10";"01";"04";2132;1132;1000;12;14;16;16;9;15;9;16;9;28;6;23;54;97;82;123;262;197;194;172;205;157;103;45;32;51;59;53;37;23;13;0;12;55;83;23;151;1235;305;195;73
"202512";"02100105";"02";"10";"01";"05";3186;1628;1558;3;12;15;19;10;12;3;15;25;8;6;24;34;82;87;169;377;374;298;309;302;254;163;87;68;102;80;104;87;42;9;6;3;56;69;24;116;1916;504;354;144
"202512";"02100106";"02";"10";"01";"06";1564;808;756;4;7;3;13;4;3;11;16;7;3;12;27;24;51;51;114;162;181;144;154;135;127;65;37;22;38;37;45;31;26;7;3;4;27;52;27;75;941;229;142;67
"202512";"02200207";"02";"20";"02";"07";783;378;405;3;0;9;19;8;4;6;6;12;14;10;26;20;60;23;58;144;116;58;74;39;9;9;6;6;6;15;11;6;3;3;0;3;36;52;26;80;512;24;38;12
"202512";"02200208";"02";"20";"02";"08";1609;803;806;0;3;6;9;10;13;9;12;22;16;6;25;53;72;95;141;220;181;173;100;103;94;51;36;19;38;32;28;18;18;3;3;0;28;78;25;125;1013;181;117;42
"202512";"02200209";"02";"20";"02";"09";2736;1437;1299;6;12;6;18;12;10;14;26;21;17;9;42;56;161;98;230;435;413;285;178;191;152;91;47;21;46;50;49;25;12;0;3;6;48;97;42;217;1830;290;166;40
"202512";"02200210";"02";"20";"02";"10";3510;1822;1688;9;7;10;23;6;22;19;24;22;28;6;46;99;171;118;274;577;549;359;293;204;160;80;65;42;55;80;72;52;26;6;6;9;46;121;46;270;2374;305;249;90
"202512";"02200211";"02";"20";"02";"11";3635;1839;1796;9;6;7;18;6;6;0;19;19;9;7;22;202;194;167;251;504;499;338;247;245;243;123;56;53;68;103;89;74;34;13;4;9;37;60;22;396;2251;422;313;125
"202512";"02200212";"02";"20";"02";"12";2105;1052;1053;0;3;0;6;3;13;3;15;6;6;6;21;15;61;72;154;281;306;220;195;174;169;98;40;34;39;55;51;30;21;0;8;0;12;49;21;76;1402;307;179;59
"202512";"02200213";"02";"20";"02";"13";2824;1463;1361;3;3;3;15;7;3;7;13;23;29;3;27;62;103;110;229;471;416;336;239;169;117;99;33;48;42;78;50;45;29;9;3;3;28;78;27;165;1970;249;218;86
"202512";"02300314";"02";"30";"03";"14";2495;1317;1178;3;0;3;3;6;9;6;4;18;15;3;12;28;92;70;118;279;235;231;258;248;211;120;64;51;64;83;113;91;43;6;8;3;12;55;12;120;1439;395;311;148
"202512";"02300315";"02";"30";"03";"15";2767;1504;1263;10;7;15;10;0;3;9;15;14;9;4;32;69;102;63;167;290;357;285;262;246;179;125;62;62;69;85;89;80;28;16;3;10;32;54;32;171;1670;366;305;127
"202512";"02300316";"02";"30";"03";"16";1224;622;602;6;3;0;6;0;0;3;6;7;3;3;3;26;42;43;62;146;149;136;107;108;68;58;21;33;22;45;46;34;20;18;0;6;9;22;3;68;751;147;146;72
